date,location,severity,country
2018-05-21,Rivers,Moderate,Nigeria
2018-05-22,Lagos,Moderate,Nigeria
2018-05-29,Rivers,Moderate,Nigeria
2018-06-21,Rivers,Moderate,Nigeria
2018-06-26,Rivers,Moderate,Nigeria
2018-07-01,Lagos,Moderate,Nigeria
2018-07-04,Rivers,Moderate,Nigeria
2018-07-07,Lagos,Moderate,Nigeria
2018-07-15,Lagos,High,Nigeria
2018-08-13,Lagos,Moderate,Nigeria
2018-08-13,Rivers,High,Nigeria
2018-08-19,Lagos,Moderate,Nigeria
2018-08-22,Rivers,Moderate,Nigeria
2018-09-06,Rivers,High,Nigeria
2018-09-06,Lagos,High,Nigeria
2018-09-10,Bayelsa,Moderate,Nigeria
2018-09-16,Benue,Moderate,Nigeria
2018-09-16,Bayelsa,High,Nigeria
2018-09-26,Bayelsa,High,Nigeria
2018-10-03,Rivers,High,Nigeria
2018-10-10,Lagos,Moderate,Nigeria
2018-10-28,Lagos,Moderate,Nigeria
2018-11-03,Bayelsa,High,Nigeria
2018-11-03,Lagos,Moderate,Nigeria
2018-11-27,Lagos,Moderate,Nigeria
2018-12-01,Rivers,Moderate,Nigeria
2018-12-19,Rivers,Moderate,Nigeria
2018-12-22,Lagos,Moderate,Nigeria
2019-01-08,Rivers,Moderate,Nigeria
2019-01-14,Lagos,Moderate,Nigeria
2019-01-20,Lagos,Moderate,Nigeria
2019-01-29,Lagos,High,Nigeria
2019-02-02,Rivers,Moderate,Nigeria
2019-02-11,Rivers,Moderate,Nigeria
2019-02-22,Rivers,Moderate,Nigeria
2019-02-24,Lagos,High,Nigeria
2019-03-06,Rivers,Moderate,Nigeria
2019-03-06,Lagos,Moderate,Nigeria
2019-03-28,Rivers,High,Nigeria
2019-04-04,Lagos,Moderate,Nigeria
2019-05-09,Lagos,Moderate,Nigeria
2019-05-09,Rivers,Moderate,Nigeria
2019-05-15,Lagos,High,Nigeria
2019-05-16,Rivers,Moderate,Nigeria
2019-06-04,Rivers,High,Nigeria
2019-06-15,Rivers,High,Nigeria
2019-06-19,Lagos,High,Nigeria
2019-06-27,Rivers,Moderate,Nigeria
2019-07-07,Rivers,High,Nigeria
2019-07-17,Rivers,Moderate,Nigeria
2019-07-21,Rivers,Moderate,Nigeria
2019-07-24,Lagos,Moderate,Nigeria
2019-08-07,Rivers,Moderate,Nigeria
2019-08-08,Benue,Moderate,Nigeria
2019-08-08,Lagos,Moderate,Nigeria
2019-08-12,Lagos,Moderate,Nigeria
2019-08-15,Rivers,High,Nigeria
2019-08-21,Lagos,Moderate,Nigeria
2019-08-29,Rivers,Moderate,Nigeria
2019-08-29,Lagos,Moderate,Nigeria
2019-09-02,Rivers,Moderate,Nigeria
2019-09-04,Lagos,High,Nigeria
2019-09-06,Rivers,High,Nigeria
2019-09-24,Rivers,High,Nigeria
2019-09-28,Lagos,High,Nigeria
2019-10-08,Rivers,High,Nigeria
2019-10-12,Bayelsa,Moderate,Nigeria
2019-10-29,Benue,Moderate,Nigeria
2019-11-07,Bayelsa,High,Nigeria
2019-11-19,Lagos,Moderate,Nigeria
2019-12-01,Lagos,High,Nigeria
2019-12-16,Rivers,Moderate,Nigeria
2020-01-11,Lagos,Moderate,Nigeria
2020-01-27,Lagos,Moderate,Nigeria
2020-02-01,Lagos,High,Nigeria
2020-02-24,Lagos,Moderate,Nigeria
2020-03-06,Lagos,Moderate,Nigeria
2020-03-08,Rivers,Moderate,Nigeria
2020-03-11,Lagos,Moderate,Nigeria
2020-03-23,Lagos,Moderate,Nigeria
2020-03-25,Rivers,Moderate,Nigeria
2020-04-05,Rivers,Moderate,Nigeria
2020-04-13,Lagos,Moderate,Nigeria
2020-05-04,Lagos,Moderate,Nigeria
2020-05-06,Rivers,Moderate,Nigeria
2020-05-16,Rivers,Moderate,Nigeria
2020-05-25,Lagos,Moderate,Nigeria
2020-05-27,Rivers,Moderate,Nigeria
2020-06-01,Lagos,Moderate,Nigeria
2020-06-06,Lagos,Moderate,Nigeria
2020-06-11,Rivers,Moderate,Nigeria
2020-06-14,Lagos,High,Nigeria
2020-06-23,Rivers,Moderate,Nigeria
2020-06-27,Rivers,Moderate,Nigeria
2020-07-03,Rivers,Moderate,Nigeria
2020-07-13,Rivers,Moderate,Nigeria
2020-07-21,Rivers,Moderate,Nigeria
2020-07-25,Benue,Moderate,Nigeria
2020-07-28,Rivers,Moderate,Nigeria
2020-08-02,Rivers,Moderate,Nigeria
2020-08-16,Rivers,Moderate,Nigeria
2020-08-25,Rivers,High,Nigeria
2020-08-28,Lagos,Moderate,Nigeria
2020-09-07,Lagos,High,Nigeria
2020-09-07,Rivers,Moderate,Nigeria
2020-09-14,Rivers,High,Nigeria
2020-09-23,Rivers,Moderate,Nigeria
2020-09-24,Lagos,Moderate,Nigeria
2020-09-28,Lagos,Moderate,Nigeria
2020-10-05,Lagos,Moderate,Nigeria
2020-10-06,Rivers,High,Nigeria
2020-10-08,Bayelsa,Moderate,Nigeria
