city,timestamp,temperature,humidity,precipitation
Lagos,2025-06-10 09:17:13,28.83,74,0
Rivers,2025-06-10 09:17:15,27.62,75,0
Benue,2025-06-10 09:17:17,26.82,82,0
Bayelsa,2025-06-10 09:17:19,27.8,77,0
Lagos,2025-06-10 09:39:01,30.89,65,0
Rivers,2025-06-10 09:39:03,28.1,70,0
Benue,2025-06-10 09:39:05,28.86,73,0
Bayelsa,2025-06-10 09:39:07,29.41,70,0
