city,timestamp,temperature,precipitation,humidity
Lagos,2015-08-08,24.82901,0.018119812,90.872604
Lagos,2015-08-09,24.786774,0.005722046,91.82746
Lagos,2015-08-10,24.61856,0.20885468,89.13592
Lagos,2015-08-11,24.68399,0.042915344,89.50827
Lagos,2015-08-12,24.746185,0.0019073486,90.635475
Lagos,2015-08-13,24.56546,0.0009536743,91.40094
Lagos,2015-08-14,25.11612,0.011920929,90.46147
Lagos,2015-08-15,24.795563,0.06198883,92.46434
Lagos,2015-08-16,24.490265,0.0104904175,93.52669
Lagos,2015-08-17,24.610382,0.008583069,93.34653
Lagos,2015-08-18,24.419586,0.18596649,92.73676
Lagos,2015-08-19,24.949371,0.039577484,91.73829
Lagos,2015-08-20,24.642242,0.12540817,91.89461
Lagos,2015-08-21,24.499054,0.5502701,91.53855
Lagos,2015-08-22,24.488068,0.015735626,91.78514
Lagos,2015-08-23,24.829681,0.0076293945,90.38725
Lagos,2015-08-24,24.979889,0.012397766,89.75019
Lagos,2015-08-25,24.22293,0.07915497,93.040985
Lagos,2015-08-26,24.927032,0.054836273,91.31069
Lagos,2015-08-27,24.796906,0.010967255,92.1249
Lagos,2015-08-28,24.76175,0.060081482,89.63097
Lagos,2015-08-29,24.940094,0.03671646,90.547935
Lagos,2015-08-30,24.6503,0.009059906,90.08676
Lagos,2015-08-31,24.747833,0.002861023,89.094025
Lagos,2015-09-01,24.81778,0.25081635,89.228645
Lagos,2015-09-02,24.59378,0.078201294,91.36225
Lagos,2015-09-03,24.787384,0.0052452087,89.92821
Lagos,2015-09-04,24.449127,0.0038146973,92.27515
Lagos,2015-09-05,24.648712,0.0042915344,90.30251
Lagos,2015-09-06,24.83908,0.102996826,90.61009
Lagos,2015-09-07,24.959015,0.0076293945,89.75194
Lagos,2015-09-08,23.924103,0.10442734,93.37994
Lagos,2015-09-09,25.018219,0.13256073,88.177505
Lagos,2015-09-10,24.802887,0.017166138,91.991455
Lagos,2015-09-11,24.634796,0.0,93.39269
Lagos,2015-09-12,24.111603,0.0,91.926544
Lagos,2015-09-13,25.184113,0.0076293945,91.98242
Lagos,2015-09-14,25.247223,0.009059906,90.93212
Lagos,2015-09-15,24.978912,0.26988983,90.730156
Lagos,2015-09-16,24.961456,0.041484833,90.7938
Lagos,2015-09-17,25.129303,0.022411346,90.40749
Lagos,2015-09-18,25.032013,0.020503998,91.72206
Lagos,2015-09-19,24.927032,0.071525574,90.04458
Lagos,2015-09-20,24.50705,0.025749207,92.8669
Lagos,2015-09-21,25.077057,0.0333786,91.15719
Lagos,2015-09-22,24.8378,0.2670288,90.99045
Lagos,2015-09-23,25.281647,0.0038146973,90.19044
Lagos,2015-09-24,25.3013,0.0038146973,91.837654
Lagos,2015-09-25,24.298737,0.07724762,91.48824
Lagos,2015-09-26,25.154327,0.12636185,92.65187
Lagos,2015-09-27,25.264557,0.025749207,91.90014
Lagos,2015-09-28,25.713898,0.019550323,89.52373
Lagos,2015-09-29,25.367096,0.034332275,90.39183
Lagos,2015-09-30,25.205475,0.7724762,90.74042
Lagos,2015-10-01,25.21585,0.06484985,90.6618
Lagos,2015-10-02,25.458893,0.025749207,90.24011
Lagos,2015-10-03,24.12088,0.27942657,93.02438
Lagos,2015-10-04,25.357697,0.5950928,88.15234
Lagos,2015-10-05,25.30069,0.06771088,90.670555
Lagos,2015-10-06,25.874176,0.0014305115,88.84488
Lagos,2015-10-07,25.325104,1.8062592,87.92276
Lagos,2015-10-08,25.769684,0.44345856,90.637245
Lagos,2015-10-09,25.438507,0.22506714,89.373375
Lagos,2015-10-10,24.968414,0.035762787,91.6218
Lagos,2015-10-11,25.360992,0.0104904175,90.897575
Lagos,2015-10-12,25.732452,0.005722046,91.46591
Lagos,2015-10-13,26.204132,0.00333786,89.52896
Lagos,2015-10-14,26.662506,0.041484833,90.5158
Lagos,2015-10-15,25.71988,0.009536743,88.25925
Lagos,2015-10-16,26.60794,0.024795532,88.67135
Lagos,2015-10-17,26.448761,0.08773804,90.46917
Lagos,2015-10-18,26.370148,0.07915497,90.58183
Lagos,2015-10-19,26.947296,0.042438507,88.49638
Lagos,2015-10-20,25.384674,0.05531311,91.936905
Lagos,2015-10-21,25.761261,0.03385544,92.27705
Lagos,2015-10-22,25.964386,0.006198883,89.295166
Lagos,2015-10-23,26.940094,0.024795532,87.686874
Lagos,2015-10-24,26.62259,0.0,89.39358
Lagos,2015-10-25,26.135529,0.04720688,91.18121
Lagos,2015-10-26,26.809723,0.06437302,89.6827
Lagos,2015-10-27,26.896515,0.006198883,89.66731
Lagos,2015-10-28,25.656769,0.2155304,90.1579
Lagos,2015-10-29,26.005402,0.030040741,90.32687
Lagos,2015-10-30,25.626373,0.0019073486,87.83466
Lagos,2015-10-31,25.198761,0.72574615,92.66991
Lagos,2016-08-01,24.839752,0.069618225,90.453285
Lagos,2016-08-02,24.70755,0.008583069,91.139694
Lagos,2016-08-03,24.836578,0.030517578,90.958534
Lagos,2016-08-04,24.266266,0.005722046,89.890015
Lagos,2016-08-05,24.521149,0.0,91.429184
Lagos,2016-08-06,24.734406,0.0009536743,87.48143
Lagos,2016-08-07,24.80539,0.0076293945,91.752884
Lagos,2016-08-08,24.620758,0.074863434,91.39395
Lagos,2016-08-09,24.274933,0.05674362,93.31932
Lagos,2016-08-10,24.789093,0.00667572,89.32436
Lagos,2016-08-11,24.740509,0.002861023,90.946144
Lagos,2016-08-12,24.7836,0.11920929,89.98139
Lagos,2016-08-13,24.990265,0.0166893,89.99276
Lagos,2016-08-14,24.81314,0.07200241,90.56858
Lagos,2016-08-15,24.673126,0.076293945,90.956795
Lagos,2016-08-16,24.543121,0.01335144,90.12168
Lagos,2016-08-17,24.664093,0.0023841858,88.79753
Lagos,2016-08-18,24.700531,0.0,90.559845
Lagos,2016-08-19,25.015533,0.0019073486,89.87034
Lagos,2016-08-20,24.51175,0.037670135,92.84219
Lagos,2016-08-21,25.335602,0.020980835,90.36474
Lagos,2016-08-22,24.906036,0.049591064,93.40969
Lagos,2016-08-23,25.15335,0.019550323,90.67522
Lagos,2016-08-24,25.101593,0.0500679,91.17856
Lagos,2016-08-25,24.806793,0.06198883,92.68485
Lagos,2016-08-26,25.15567,0.03862381,91.21687
Lagos,2016-08-27,24.828888,0.005722046,90.708984
Lagos,2016-08-28,24.92154,0.44441223,90.76771
Lagos,2016-08-29,24.252106,0.042915344,94.426414
Lagos,2016-08-30,24.937164,0.012397766,89.65207
Lagos,2016-08-31,25.140656,0.014305115,89.15152
Lagos,2016-09-01,25.467072,0.01859665,91.43865
Lagos,2016-09-02,24.74881,0.012874603,91.78495
Lagos,2016-09-03,25.562042,0.12588501,89.5119
Lagos,2016-09-04,25.204254,0.051021576,89.03408
Lagos,2016-09-05,25.492706,0.02670288,90.27333
Lagos,2016-09-06,24.470978,0.16832352,91.84849
Lagos,2016-09-07,25.0607,0.022888184,91.034874
Lagos,2016-09-08,25.252838,0.052452087,90.61937
Lagos,2016-09-09,25.253204,0.1745224,88.841415
Lagos,2016-09-10,25.452423,0.049591064,89.64876
Lagos,2016-09-11,24.902008,0.0014305115,90.673836
Lagos,2016-09-12,25.252472,0.28896332,89.7311
Lagos,2016-09-13,25.305817,0.04720688,89.7912
Lagos,2016-09-14,25.121246,0.33187866,90.736755
Lagos,2016-09-15,24.465363,0.3876686,92.766556
Lagos,2016-09-16,25.03421,0.014305115,90.0427
Lagos,2016-09-17,24.938019,0.0104904175,90.3735
Lagos,2016-09-18,24.90445,0.17786026,90.914444
Lagos,2016-09-19,25.384552,0.05054474,89.53596
Lagos,2016-09-20,25.244415,0.039100647,89.1068
Lagos,2016-09-21,25.000885,0.49352646,90.305695
Lagos,2016-09-22,25.888336,0.035762787,89.64419
Lagos,2016-09-23,25.654694,0.05197525,89.57148
Lagos,2016-09-24,25.65213,0.06532669,89.873405
Lagos,2016-09-25,24.786774,0.09346008,91.30952
Lagos,2016-09-26,25.465729,0.05340576,89.90001
Lagos,2016-09-27,25.434967,0.034809113,87.91412
Lagos,2016-09-28,25.205109,0.041007996,91.75577
Lagos,2016-09-29,25.767242,0.002861023,88.374146
Lagos,2016-09-30,25.796295,0.008106232,89.6741
Lagos,2016-10-01,24.875763,0.5888939,90.436455
Lagos,2016-10-02,25.676178,0.08583069,91.338005
Lagos,2016-10-03,25.4263,0.00667572,90.78826
Lagos,2016-10-04,25.94754,0.00047683716,92.53419
Lagos,2016-10-05,26.037262,0.00667572,91.31043
Lagos,2016-10-06,26.538849,0.0019073486,90.05604
Lagos,2016-10-07,26.303497,0.022888184,91.30263
Lagos,2016-10-08,25.472565,0.009059906,90.20963
Lagos,2016-10-09,25.590118,0.06532669,90.072174
Lagos,2016-10-10,25.972565,0.13971329,88.93744
Lagos,2016-10-11,25.855011,0.15735626,88.23175
Lagos,2016-10-12,25.176178,0.19836426,91.64934
Lagos,2016-10-13,26.588898,0.0,88.18129
Lagos,2016-10-14,26.784576,0.00047683716,90.050735
Lagos,2016-10-15,25.978912,0.03385544,90.37853
Lagos,2016-10-16,26.313019,0.32615662,90.83316
Lagos,2016-10-17,25.947296,0.0052452087,89.75299
Lagos,2016-10-18,26.259918,0.008583069,88.07994
Lagos,2016-10-19,24.830719,0.032424927,89.90052
Lagos,2016-10-20,26.146881,0.0,88.11614
Lagos,2016-10-21,26.506989,0.0,88.891235
Lagos,2016-10-22,25.477814,0.0009536743,86.69606
Lagos,2016-10-23,25.34549,0.0038146973,88.26214
Lagos,2016-10-24,26.678497,0.0,89.80491
Lagos,2016-10-25,27.114899,0.0,89.99864
Lagos,2016-10-26,26.874786,0.0009536743,89.698616
Lagos,2016-10-27,27.208527,0.0,87.626816
Lagos,2016-10-28,27.154205,0.0,90.01582
Lagos,2016-10-29,26.354889,0.00047683716,89.94896
Lagos,2016-10-30,26.458038,0.0104904175,86.0416
Lagos,2016-10-31,25.478424,0.02193451,89.76173
Lagos,2017-08-01,24.964996,0.034809113,89.783165
Lagos,2017-08-02,24.96756,0.23269653,89.42024
Lagos,2017-08-03,24.239899,0.35858154,93.77815
Lagos,2017-08-04,24.638092,0.05054474,90.16145
Lagos,2017-08-05,24.017609,0.07104874,91.82537
Lagos,2017-08-06,24.183868,0.4954338,92.1285
Lagos,2017-08-07,24.489899,0.0,90.53564
Lagos,2017-08-08,24.342926,0.092983246,91.18479
Lagos,2017-08-09,24.615631,0.04673004,90.28684
Lagos,2017-08-10,24.822296,0.00333786,90.55852
Lagos,2017-08-11,24.678497,0.01001358,92.338806
Lagos,2017-08-12,25.027252,0.014781952,89.70477
Lagos,2017-08-13,25.029083,0.005722046,90.6054
Lagos,2017-08-14,24.773224,0.10728836,91.37865
Lagos,2017-08-15,24.85202,0.4606247,90.2902
Lagos,2017-08-16,24.93216,0.044822693,91.47445
Lagos,2017-08-17,24.299591,2.7222633,92.81798
Lagos,2017-08-18,24.080841,0.40578842,89.47293
Lagos,2017-08-19,24.40628,0.06389618,86.99332
Lagos,2017-08-20,24.000763,0.0,89.92889
Lagos,2017-08-21,24.174957,0.0,90.75931
Lagos,2017-08-22,24.30069,0.0104904175,90.02616
Lagos,2017-08-23,24.238312,0.029563904,90.60813
Lagos,2017-08-24,24.195465,0.0,91.90738
Lagos,2017-08-25,24.479034,0.0047683716,91.5309
Lagos,2017-08-26,23.510529,0.2527237,92.18454
Lagos,2017-08-27,24.53482,0.20694733,91.39294
Lagos,2017-08-28,24.313995,0.0009536743,92.558105
Lagos,2017-08-29,24.711212,0.011444092,90.57127
Lagos,2017-08-30,24.64853,0.0019073486,90.23051
