date,country,location,severity,id,timestamp,temperature,humidity,precipitation,flood_risk,area_building_site,area_abutters,area_allotments,area_aquaculture,area_brownfield,area_cemetery,area_churchyard,area_commercial,area_construction,area_education,area_farmland,area_farmyard,area_flowerbed,area_forest,area_garages,area_grass,area_greenfield,area_greenhouse_horticulture,area_harbour,area_industrial,area_landfill,area_meadow,area_military,area_orchard,area_plant_nursery,area_quarry,area_railway,area_recreation_ground,area_religious,area_residential,area_retail,area_salt_pond,area_village_green,area_vineyard,area_yes,images_2025-06-02,avg_precipitation_7d,avg_temperature_7d,avg_humidity_7d,avg_precipitation_30d
2019-03-06,Nigeria,lagos,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,4192.712014352211,2554.8813138042633,3332.2890717341274,134158.47564438873,9644583.53180066,1229249.1271896383,2217.5646479465636,9645511.490416056,22109931.97150279,631.6500492783746,228296768.60751733,418618.3042611956,0.0,654946910.9435024,1422227.3750160043,2380296.2986232075,34659805.23060212,37951.14919075789,0.0,151293173.93540052,2398250.217499606,7708301.66694895,40680626.9419287,5623263.305645556,15888.579143418512,274274.89682300104,1514984.612310169,332071.1151970523,1660895.8339373483,1483988431.9156117,20497545.83680016,71896.74657708849,104986.10445352641,1262501.2505799918,3322.163574109343,1.0,0.12075272203326308,25.411227456703816,89.34042553191489,0.12035673796386094
2022-12-23,Nigeria,bayelsa,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796375.2915475649,2450084.7733665407,0.0,1227220.6616242568,86066.53535035341,5952.217431434638,5560263572.125234,0.0,1577821.295059032,0.0,0.0,256.83201525299484,6104369.165029451,0.0,1162569.6044260787,538070.2993804974,10007661.743422879,0.0,0.0,0.0,0.0,0.0,185772990.4665682,192794.8831266831,0.0,0.0,0.0,0.0,0.0,0.09804996646234887,24.357078431644716,93.19858156028369,0.09772248245240675
2017-04-10,Nigeria,rivers,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10401068.096641954,0.0,0.0,0.0,0.0,0.0,8628840093.912819,0.0,0.0,0.0,0.0,0.0,137251923.65312213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751959447.27503,0.0,0.0,0.0,0.0,0.0,0.0,0.12299615941075885,24.429349607632556,93.9290780141844,0.12125009757368492
2015-05-24,Nigeria,rivers,High,0.0,0,0.4752616713439961,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10401068.096641954,0.0,0.0,0.0,0.0,0.0,8628840093.912819,0.0,0.0,0.0,0.0,0.0,137251923.65312213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751959447.27503,0.0,0.0,0.0,0.0,0.0,0.0,0.12299615941075885,24.429349607632556,93.9290780141844,0.12125009757368492
2016-11-03,Nigeria,lagos,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,4192.712014352211,2554.8813138042633,3332.2890717341274,134158.47564438873,9644583.53180066,1229249.1271896383,2217.5646479465636,9645511.490416056,22109931.97150279,631.6500492783746,228296768.60751733,418618.3042611956,0.0,654946910.9435024,1422227.3750160043,2380296.2986232075,34659805.23060212,37951.14919075789,0.0,151293173.93540052,2398250.217499606,7708301.66694895,40680626.9419287,5623263.305645556,15888.579143418512,274274.89682300104,1514984.612310169,332071.1151970523,1660895.8339373483,1483988431.9156117,20497545.83680016,71896.74657708849,104986.10445352641,1262501.2505799918,3322.163574109343,1.0,0.12075272203326308,25.411227456703816,89.34042553191489,0.12035673796386094
2018-03-23,Nigeria,rivers,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10401068.096641954,0.0,0.0,0.0,0.0,0.0,8628840093.912819,0.0,0.0,0.0,0.0,0.0,137251923.65312213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751959447.27503,0.0,0.0,0.0,0.0,0.0,0.0,0.12299615941075885,24.429349607632556,93.9290780141844,0.12125009757368492
2014-09-15,Nigeria,lagos,Medium,46.0,2014-09-15,0.4837510290762994,0.5466823335751956,0.0114771334456554,1,4192.712014352211,2554.8813138042633,3332.2890717341274,134158.47564438873,9644583.53180066,1229249.1271896383,2217.5646479465636,9645511.490416056,22109931.97150279,631.6500492783746,228296768.60751733,418618.3042611956,0.0,654946910.9435024,1422227.3750160043,2380296.2986232075,34659805.23060212,37951.14919075789,0.0,151293173.93540052,2398250.217499606,7708301.66694895,40680626.9419287,5623263.305645556,15888.579143418512,274274.89682300104,1514984.612310169,332071.1151970523,1660895.8339373483,1483988431.9156117,20497545.83680016,71896.74657708849,104986.10445352641,1262501.2505799918,3322.163574109343,1.0,0.12075272203326308,25.411227456703816,89.34042553191489,0.12035673796386094
2021-09-22,Nigeria,lagos,Medium,697.0,2021-09-22,0.6058937278067527,0.5069091066613245,0.0497634475371077,1,4192.712014352211,2554.8813138042633,3332.2890717341274,134158.47564438873,9644583.53180066,1229249.1271896383,2217.5646479465636,9645511.490416056,22109931.97150279,631.6500492783746,228296768.60751733,418618.3042611956,0.0,654946910.9435024,1422227.3750160043,2380296.2986232075,34659805.23060212,37951.14919075789,0.0,151293173.93540052,2398250.217499606,7708301.66694895,40680626.9419287,5623263.305645556,15888.579143418512,274274.89682300104,1514984.612310169,332071.1151970523,1660895.8339373483,1483988431.9156117,20497545.83680016,71896.74657708849,104986.10445352641,1262501.2505799918,3322.163574109343,1.0,0.12075272203326308,25.411227456703816,89.34042553191489,0.12035673796386094
2017-09-15,Nigeria,bayelsa,Medium,3082.0,2017-09-15,0.4936933331197535,0.5295471036073609,0.0002628351205824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796375.2915475649,2450084.7733665407,0.0,1227220.6616242568,86066.53535035341,5952.217431434638,5560263572.125234,0.0,1577821.295059032,0.0,0.0,256.83201525299484,6104369.165029451,0.0,1162569.6044260787,538070.2993804974,10007661.743422879,0.0,0.0,0.0,0.0,0.0,185772990.4665682,192794.8831266831,0.0,0.0,0.0,0.0,0.0,0.09804996646234887,24.357078431644716,93.19858156028369,0.09772248245240675
2022-06-03,Nigeria,lagos,Medium,0.0,0,0.4752616713439961,0.0,0.0,1,4192.712014352211,2554.8813138042633,3332.2890717341274,134158.47564438873,9644583.53180066,1229249.1271896383,2217.5646479465636,9645511.490416056,22109931.97150279,631.6500492783746,228296768.60751733,418618.3042611956,0.0,654946910.9435024,1422227.3750160043,2380296.2986232075,34659805.23060212,37951.14919075789,0.0,151293173.93540052,2398250.217499606,7708301.66694895,40680626.9419287,5623263.305645556,15888.579143418512,274274.89682300104,1514984.612310169,332071.1151970523,1660895.8339373483,1483988431.9156117,20497545.83680016,71896.74657708849,104986.10445352641,1262501.2505799918,3322.163574109343,1.0,0.12075272203326308,25.411227456703816,89.34042553191489,0.12035673796386094
