image_id,date,region
COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250604T053010_20250604T053039_059492_0762AD_E99F,1749015010000,Lagos
COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250604T175326_20250604T175351_059500_0762F0_7BBC,1749059606000,Port Harcourt
COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250606T173748_20250606T173813_059529_0763F0_8259,1749231468000,Makurdi
COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250604T175326_20250604T175351_059500_0762F0_7BBC,1749059606000,Yenagoa
